SCH_ID,STU_ID,Profmath2,mathach,byses,usecalc,usecompu,urban,gender
2042,204208,0,30.202,0.109999999,1,1,0,0
2042,204209,0,19.109,-1.679999948,2,2,0,0
2042,204211,0,26.015,-1.269999981,1,1,0,1
2042,204212,1,32.969,0.610000014,2,1,0,0
2042,204213,1,42.287,-0.639999986,5,1,0,0
2042,204214,1,36.725,-0.870000005,5,1,0,1
2042,204215,1,49.8,-0.819999993,4,1,0,0
2042,204217,1,43.114,-1.179999948,4,1,0,0
2042,204218,1,36.74,-0.730000019,4,2,0,0
2042,204220,0,13.75,-0.870000005,1,2,0,0
2042,204221,0,25.309,-0.569999993,3,3,0,0
2042,204222,1,36.95,-0.850000024,1,1,0,0
2042,204223,0,22.463,-0.439999998,5,5,0,1
2042,204225,0,29.734,-0.360000014,5,1,0,1
2042,204226,0,23.956,-0.730000019,5,3,0,0
2042,204227,0,24.372,-1.100000024,2,1,0,0
2042,204228,0,29.446,-0.400000006,2,5,0,0
2042,204229,0,19.607,-0.870000005,3,3,0,0
2042,204230,0,15.407,-1.309999943,3,2,0,0
2042,204231,0,26.167,-0.850000024,5,2,0,1
2042,204232,0,21.079,-0.639999986,2,5,0,1
2042,204234,0,21.518,1.289999962,5,2,0,1
2042,204235,0,23.517,-1.110000014,4,1,0,0
2051,205102,1,35.415,0.620000005,5,2,0,1
2051,205103,1,46.497,1.200000048,5,2,0,1
2051,205104,1,53.836,1.049999952,5,1,0,0
2051,205105,1,49.365,0.699999988,5,1,0,1
2051,205106,1,33.484,-0.629999995,5,1,0,0
2051,205107,1,47.01,0.920000017,5,1,0,1
2051,205113,0,14.735,-0.779999971,5,4,0,1
2051,205116,1,56.763,1.659999967,5,1,0,0
2051,205118,0,16.714,-0.449999988,2,2,0,1
2051,205119,1,44.835,0.689999998,5,5,0,1
2051,205120,1,51.024,0.899999976,5,2,0,0
2051,205121,1,44.269,0.860000014,5,1,0,1
2051,205122,1,67.34,1.639999986,5,1,0,0
2051,205124,1,36.056,-0.670000017,5,1,0,1
2052,205202,1,43.367,-0.430000007,4,1,0,0
2052,205205,1,32.5,-0.119999997,3,1,0,0
2052,205206,1,40.904,0.730000019,5,1,0,1
2052,205208,1,43.402,0.730000019,5,2,0,1
2052,205209,0,26.372,-0.289999992,2,1,0,1
2052,205210,1,42.823,0.529999971,5,1,0,0
2052,205216,1,41.316,0.25,5,1,0,1
2052,205219,0,20.94,-0.75,5,5,0,0
2061,206101,0,17.782,-0.159999996,4,1,0,1
2061,206102,1,32.972,0.330000013,2,1,0,1
2061,206104,0,23.036,-0.810000002,5,1,0,1
2061,206105,0,20.842,-0.330000013,3,1,0,1
