age,class,coninc,degree,educ,fechld,gunlaw,happy,satfin,sex,sibs,tvhours,wrkfull,healthre,female,maritals,healthy,vistzoo
62,middle class,163843.84698,graduate,18,IAP,oppose,very happy,satisfied,female,2,IAP,1,3,1,1,1,
51,middle class,32670,bachelor,16,IAP,favor,pretty happy,more or less,female,1,IAP,1,4,1,0,1,
40,working class,39930,high school,15,strongly agree,oppose,not too happy,not at all sat,female,3,4,1,1,1,0,0,1
52,working class,39930,high school,12,disagree,oppose,pretty happy,more or less,male,1,1,1,4,0,0,1,0
52,working class,27225,high school,14,IAP,favor,very happy,more or less,female,4,IAP,0,2,1,1,0,
36,middle class,163843.84698,graduate,18,agree,favor,very happy,satisfied,female,1,1,0,4,1,1,1,2
56,working class,59895,high school,12,disagree,oppose,pretty happy,more or less,male,4,2,1,3,0,1,1,0
64,working class,49005,high school,13,IAP,favor,very happy,satisfied,female,1,IAP,0,4,1,1,1,
62,working class,87120,graduate,19,IAP,favor,pretty happy,more or less,female,1,IAP,1,3,1,1,1,
35,middle class,59895,bachelor,16,IAP,favor,pretty happy,more or less,female,4,IAP,0,4,1,1,1,
36,middle class,49005,junior college,14,IAP,favor,pretty happy,more or less,female,3,IAP,1,3,1,0,1,
62,upper class,163843.84698,high school,13,agree,favor,very happy,satisfied,female,2,2,1,3,1,0,1,1
30,middle class,87120,high school,16,IAP,favor,pretty happy,satisfied,male,1,IAP,1,4,0,1,1,
79,middle class,101640,graduate,16,agree,favor,pretty happy,satisfied,male,1,1,0,4,0,1,1,1
60,middle class,101640,high school,12,IAP,favor,pretty happy,satisfied,female,0,IAP,1,3,1,1,1,
51,middle class,163843.84698,graduate,18,agree,DK,very happy,satisfied,male,5,1,1,3,0,1,1,2
59,lower class,72600,lt high school,9,strongly disagree,favor,pretty happy,not at all sat,male,2,2,0,2,0,1,0,0
53,middle class,IAP,high school,13,strongly disagree,oppose,very happy,satisfied,female,3,0,1,3,1,1,1,1
47,working class,19965,high school,13,IAP,oppose,very happy,satisfied,male,1,IAP,1,3,0,1,1,
41,upper class,163843.84698,graduate,20,IAP,favor,very happy,more or less,female,3,IAP,1,4,1,1,1,
64,middle class,IAP,high school,12,IAP,oppose,very happy,more or less,male,2,IAP,0,2,0,1,0,
80,middle class,59895,graduate,18,disagree,favor,pretty happy,more or less,female,5,2,0,3,1,1,1,1
29,working class,39930,bachelor,16,strongly disagree,favor,not too happy,not at all sat,female,2,6,0,1,1,1,0,1
64,middle class,9982.5,high school,12,agree,favor,pretty happy,more or less,male,3,2,0,3,0,0,1,2
40,lower class,49005,high school,13,IAP,favor,pretty happy,not at all sat,female,4,IAP,1,3,1,0,1,
56,working class,72600,bachelor,16,disagree,favor,pretty happy,not at all sat,female,6,2,1,1,1,1,0,0
71,middle class,IAP,bachelor,16,IAP,favor,pretty happy,satisfied,female,4,IAP,0,3,1,1,1,
74,middle class,72600,bachelor,16,IAP,favor,very happy,satisfied,female,2,IAP,0,3,1,1,1,
65,working class,19965,bachelor,16,IAP,favor,very happy,more or less,female,6,IAP,0,3,1,0,1,
41,lower class,23595,high school,12,IAP,favor,pretty happy,not at all sat,female,8,IAP,0,1,1,1,0,
38,middle class,87120,graduate,20,IAP,oppose,pretty happy,more or less,male,4,IAP,1,3,0,1,1,
25,working class,23595,bachelor,16,IAP,favor,very happy,satisfied,male,1,IAP,0,4,0,0,1,
25,middle class,116160,graduate,18,agree,favor,pretty happy,satisfied,female,1,1,1,4,1,0,1,4
26,working class,19965,high school,16,IAP,favor,not too happy,not at all sat,female,6,IAP,0,3,1,0,1,
34,middle class,101640,graduate,18,agree,favor,very happy,more or less,female,2,0,1,4,1,1,1,3
36,middle class,72600,bachelor,16,agree,favor,pretty happy,not at all sat,male,1,3,1,3,0,0,1,0
59,working class,72600,lt high school,11,IAP,favor,pretty happy,more or less,male,3,IAP,1,4,0,1,1,
45,working class,116160,junior college,14,IAP,favor,pretty happy,more or less,female,3,IAP,1,4,1,1,1,
44,middle class,163843.84698,graduate,16,strongly agree,favor,pretty happy,satisfied,male,1,1,1,3,0,1,1,5
66,middle class,72600,high school,12,IAP,favor,very happy,satisfied,female,1,IAP,0,4,1,1,1,
43,upper class,163843.84698,bachelor,16,strongly agree,favor,very happy,satisfied,female,1,0,1,4,1,1,1,9
44,middle class,32670,graduate,18,strongly agree,favor,not too happy,not at all sat,male,2,2,1,2,0,0,0,0
37,middle class,59895,bachelor,20,IAP,favor,pretty happy,not at all sat,male,2,IAP,1,4,0,1,1,
48,middle class,72600,graduate,18,disagree,oppose,pretty happy,more or less,male,3,1,1,4,0,1,1,0
34,working class,17242.5,high school,12,strongly agree,DK,pretty happy,more or less,female,3,2,1,3,1,0,1,1
25,middle class,39930,high school,12,IAP,favor,pretty happy,satisfied,male,1,IAP,1,3,0,1,1,
44,working class,32670,high school,13,agree,oppose,pretty happy,not at all sat,female,6,1,1,3,1,0,1,0
63,working class,IAP,lt high school,10,IAP,favor,very happy,not at all sat,female,6,IAP,0,2,1,1,0,
64,working class,15427.5,high school,14,agree,oppose,not too happy,more or less,female,9,12,0,2,1,0,0,0
